package_name,version
Babel,2.12.1
Brlapi,0.8.3
Brotli,1.0.9
Cython,0.29.35
Django,3.2.19
Flask,2.3.2
Jinja2,3.1.2
Mako,1.1.3
MarkupSafe,2.1.3
PPOCRLabel,2.1.3
Pillow,9.3.0
PyGObject,3.42.1
PyJWT,2.3.0
PyMuPDF,1.19.0
PyNaCl,1.5.0
PyPDF4,1.27.0
PyQt5,5.15.9
PyQt5-Qt5,5.15.2
PyQt5-sip,12.12.1
PyWavelets,1.4.1
PyYAML,5.4.1
Pygments,2.15.1
QtPy,2.3.1
SecretStorage,3.3.1
Send2Trash,1.8.2
Werkzeug,2.3.6
aiohttp,3.8.4
aiosignal,1.3.1
anyio,3.7.0
appdirs,1.4.4
apturl,0.5.2
argon2-cffi,21.3.0
argon2-cffi-bindings,21.2.0
arrow,1.2.3
asgiref,3.7.2
astor,0.8.1
asttokens,2.2.1
async-timeout,4.0.2
attr,0.3.1
attrdict,2.0.1
attrs,23.1.0
azure-core,1.27.1
azure-storage-blob,12.16.0
backcall,0.2.0
bce-python-sdk,0.8.83
bcrypt,3.2.0
beautifulsoup4,4.12.2
beniget,0.4.1
bleach,6.0.0
blinker,1.6.2
boto,2.49.0
boto3,1.16.63
botocore,1.19.63
boxing,0.1.4
cachetools,5.3.1
certifi,2020.6.20
cffi,1.15.1
chardet,4.0.0
charset-normalizer,3.1.0
click,8.1.3
cmake,3.26.4
colorama,0.4.4
comm,0.1.3
command-not-found,0.3
coreapi,2.3.3
coreschema,0.0.4
croniter,1.0.15
cryptography,41.0.1
cssselect,1.2.0
cssutils,2.7.1
cupshelpers,1.0
cycler,0.11.0
datasets,2.13.1
dbus-python,1.2.18
debugpy,1.6.7
decorator,5.1.1
defer,1.0.6
defusedxml,0.7.1
dill,0.3.6
distro,1.7.0
distro-info,1.1build1
django-annoying,0.10.6
django-cors-headers,3.6.0
django-debug-toolbar,3.2.1
django-extensions,3.1.0
django-filter,2.4.0
django-model-utils,4.1.1
django-ranged-fileresponse,0.1.2
django-rest-swagger,2.2.0
django-rq,2.5.1
django-storages,1.12.3
django-user-agents,0.4.0
djangorestframework,3.13.1
drf-dynamic-fields,0.3.0
drf-flex-fields,0.9.5
drf-generators,0.3.0
drf-yasg,1.20.0
duplicity,0.8.21
entrypoints,0.4
et-xmlfile,1.1.0
exceptiongroup,1.1.1
executing,1.2.0
expiringdict,1.2.2
fasteners,0.14.1
fastjsonschema,2.17.1
filelock,3.12.2
fire,0.5.0
flask-babel,3.1.0
fonttools,4.29.1
fqdn,1.5.1
frozenlist,1.3.3
fs,2.4.12
fsspec,2023.6.0
future,0.18.2
gast,0.5.2
google-api-core,2.11.0
google-auth,2.14.1
google-cloud-appengine-logging,1.1.0
google-cloud-audit-log,0.2.0
google-cloud-core,2.3.2
google-cloud-logging,2.7.2
google-cloud-storage,2.5.0
google-crc32c,1.5.0
google-resumable-media,2.3.3
googleapis-common-protos,1.56.4
grpc-google-iam-v1,0.12.4
grpcio,1.54.2
grpcio-status,1.48.2
h11,0.14.0
html5lib,1.1
htmlmin,0.1.12
httpcore,0.17.2
httplib2,0.20.2
httpx,0.24.1
huggingface-hub,0.16.4
idna,3.3
ijson,3.2.1
imageio,2.31.1
imgaug,0.4.0
importlib-metadata,4.6.4
inflection,0.5.1
ipykernel,6.23.1
ipython,8.13.2
ipython-genutils,0.2.0
ipywidgets,8.0.6
isodate,0.6.1
isoduration,20.11.0
itsdangerous,2.1.2
itypes,1.2.0
jedi,0.18.2
jeepney,0.7.1
jmespath,0.10.0
joblib,1.2.0
jsonpointer,2.3
jsonschema,4.17.3
jupyter,1.0.0
jupyter-client,8.2.0
jupyter-console,6.6.3
jupyter-core,5.3.0
jupyter-events,0.6.3
jupyter-server,2.6.0
jupyter-server-terminals,0.4.4
jupyterlab-pygments,0.2.2
jupyterlab-widgets,3.0.7
keyring,23.5.0
kiwisolver,1.3.2
label-studio,1.8.0
label-studio-converter,0.0.53
label-studio-tools,0.0.2
language-selector,0.1
launchdarkly-server-sdk,7.5.0
launchpadlib,1.10.16
lazr.restfulclient,0.14.4
lazr.uri,1.0.6
lazy-loader,0.2
lit,16.0.6
lmdb,1.4.1
lockfile,0.12.2
louis,3.20.0
lxml,4.8.0
lz4,3.1.3+dfsg
macaroonbakery,1.3.1
matplotlib,3.5.1
matplotlib-inline,0.1.6
mistune,2.0.5
monotonic,1.6
more-itertools,8.10.0
mpmath,0.0.0
multidict,6.0.4
multiprocess,0.70.14
nbclassic,1.0.0
nbclient,0.8.0
nbconvert,7.4.0
nbformat,5.8.0
nest-asyncio,1.5.6
netifaces,0.11.0
networkx,3.1
nltk,3.6.7
notebook,6.5.4
notebook-shim,0.2.3
numpy,1.21.6
nvidia-cublas-cu11,11.10.3.66
nvidia-cuda-cupti-cu11,11.7.101
nvidia-cuda-nvrtc-cu11,11.7.99
nvidia-cuda-runtime-cu11,11.7.99
nvidia-cudnn-cu11,8.5.0.96
nvidia-cufft-cu11,10.9.0.58
nvidia-curand-cu11,10.2.10.91
nvidia-cusolver-cu11,11.4.0.1
nvidia-cusparse-cu11,11.7.4.91
nvidia-nccl-cu11,2.14.3
nvidia-nvtx-cu11,11.7.91
oauthlib,3.2.0
olefile,0.46
openapi-codec,1.3.2
opencv-contrib-python,4.6.0.66
opencv-python,4.6.0.66
opencv-python-headless,4.8.0.74
openpyxl,3.1.2
opt-einsum,3.3.0
ordered-set,4.0.2
overrides,7.3.1
packaging,23.1
paddle-bfloat,0.1.7
paddleocr,2.6.1.3
paddlepaddle,2.5.0
pandas,1.5.3
pandocfilters,1.5.0
paramiko,2.9.3
parso,0.8.3
pdf2docx,0.5.6
pdf2image,1.16.3
pdfminer.six,20221105
pexpect,4.8.0
pickleshare,0.7.5
pip,23.2.1
platformdirs,3.5.1
ply,3.11
premailer,3.10.0
prometheus-client,0.17.0
prompt-toolkit,3.0.38
