name,version,install_command,release_date,release_year,old_version,old_release_date,old_release_year,url,documentation
PyDrive2,1.17.0,pip install PyDrive2,2023-08-15,2023,0.14.0,2022-07-22,2022,https://pypi.org/project/PyDrive2/,https://docs.iterative.ai/PyDrive2/
annotated-types,0.5.0,pip install annotated-types,2023-05-31,2023,0.1.0,2022-05-02,2022,https://pypi.org/project/annotated-types/,
array-record,0.4.1,pip install array-record,2023-08-08,2023,0.1.0,2022-11-23,2022,https://pypi.org/project/array-record/,
confection,0.1.1,pip install confection,2023-08-04,2023,0.0.1,2022-08-24,2022,https://pypi.org/project/confection/,
jsonschema-specifications,2023.7.1,pip install jsonschema-specifications,2023-07-18,2023,0.1.0,2022-12-27,2022,https://pypi.org/project/jsonschema-specifications/,
ml-dtypes,0.2.0,pip install ml-dtypes,2023-06-06,2023,0.0.1,2023-03-10,2023,https://pypi.org/project/ml-dtypes/,
orbax-checkpoint,0.3.5,pip install orbax-checkpoint,2023-08-17,2023,0.0.0,2023-02-08,2023,https://pypi.org/project/orbax-checkpoint/,
pydantic-core,2.6.1,pip install pydantic-core,2023-08-18,2023,0.0.1,2022-04-20,2022,https://pypi.org/project/pydantic-core/,
pytensor,2.14.2,pip install pytensor,2023-08-04,2023,2.8.10,2022-11-23,2022,https://pypi.org/project/pytensor/,https://pytensor.readthedocs.io/en/latest/index.html
referencing,0.30.2,pip install referencing,2023-08-05,2023,0.1.0,2022-11-21,2022,https://pypi.org/project/referencing/,https://referencing.readthedocs.io/en/stable/
rpds-py,0.9.2,pip install rpds-py,2023-07-18,2023,0.1.0,2023-03-01,2023,https://pypi.org/project/rpds-py/,
conda-package-handling,2.2.0,pip install conda-package-handling,2023-08-01,2023,2.1.0,2023-07-18,2023,https://pypi.org/project/conda-package-handling/,
conda-package-streaming,0.9.0,pip install conda-package-streaming,2023-08-01,2023,0.3.0,2022-06-28,2022,https://pypi.org/project/conda-package-streaming/,
jupyter-events,0.7.0,pip install jupyter-events,2023-07-31,2023,0.1.0,2022-05-31,2022,https://pypi.org/project/jupyter-events/,
jupyter-server-terminals,0.4.4,pip install jupyter-server-terminals,2023-01-09,2023,0.1.0,2022-04-02,2022,https://pypi.org/project/jupyter-server-terminals/,
jupyter-server-ydoc,0.8.0,pip install jupyter-server-ydoc,2023-03-05,2023,0.1.1,2022-07-11,2022,https://pypi.org/project/jupyter-server-ydoc/,
jupyter-ydoc,1.0.2,pip install jupyter-ydoc,2023-04-14,2023,0.1.0,2022-05-02,2022,https://pypi.org/project/jupyter-ydoc/,
jupyter-server-fileid,0.9.0,pip install jupyter-server-fileid,2023-04-09,2023,0.2.0,2022-09-15,2022,https://pypi.org/project/jupyter-server-fileid/,
lightning-utilities,0.9.0,pip install lightning-utilities,2023-06-29,2023,0.2.0,2022-09-06,2022,https://pypi.org/project/lightning-utilities/,
opentelemetry-exporter-otlp-proto-common,1.19.0,pip install opentelemetry-exporter-otlp-proto-common,2023-07-13,2023,1.18.0,2023-05-19,2023,https://pypi.org/project/opentelemetry-exporter-otlp-proto-common/,
pytoolconfig,1.2.5,pip install pytoolconfig,2023-01-30,2023,0.1.0,2022-05-13,2022,https://pypi.org/project/pytoolconfig/,
safetensors,0.3.2,pip install safetensors,2023-08-08,2023,0.0.1,2022-09-22,2022,https://pypi.org/project/safetensors/,
tensorflowjs,4.10.0,pip install tensorflowjs,2023-08-01,2023,0.0.0,2023-06-10,2023,https://pypi.org/project/tensorflowjs/,
ydata-profiling,4.5.1,pip install ydata-profiling,2023-08-11,2023,4.0.0,2023-01-30,2023,https://pypi.org/project/ydata-profiling/,https://ydata-profiling.ydata.ai/docs/master/index.html
ypy-websocket,0.12.1,pip install ypy-websocket,2023-06-20,2023,0.1.1,2022-04-26,2022,https://pypi.org/project/ypy-websocket/,
nvidia-cudnn-cu11,8.9.4.25,pip install nvidia-cudnn-cu11,2023-08-09,2023,0.0.1.dev5,2022-07-18,2022,https://pypi.org/project/nvidia-cudnn-cu11/,
nvidia-nccl-cu11,2.18.3,pip install nvidia-nccl-cu11,2023-06-13,2023,0.0.1.dev5,2022-07-18,2022,https://pypi.org/project/nvidia-nccl-cu11/,
atomicwrites,1.4.1,pip install atomicwrites,2022-07-08,2022,0.1.0,2022-07-09,2022,https://pypi.org/project/atomicwrites/,
automake,66.0.2,pip install automake,2023-02-10,2023,66.0.0,2023-02-08,2023,https://pypi.org/project/automake/,
libsodium,2.6.1,pip install libsodium,2023-07-06,2023,1.0.0,2022-12-06,2022,https://pypi.org/project/libsodium/,
pytest-xdist,3.3.1,pip install pytest-xdist,2023-05-19,2023,0.0.0,2022-10-25,2022,https://pypi.org/project/pytest-xdist/,
python-daemon,3.0.1,pip install python-daemon,2023-03-08,2023,0.0.0,2022-07-19,2022,https://pypi.org/project/python-daemon/,
swig,4.1.1,pip install swig,2022-12-09,2022,3.0.6,2022-07-16,2022,https://pypi.org/project/swig/,
zlib-ng,0.2.0,pip install zlib-ng,2023-03-21,2023,0.1.0,2023-01-31,2023,https://pypi.org/project/zlib-ng/,
poetry-plugin-export,1.5.0,pip install poetry-plugin-export,2023-08-20,2023,1.0.0,2022-04-05,2022,https://pypi.org/project/poetry-plugin-export/,
great-expectations,0.17.11,pip install great-expectations,2023-08-17,2023,0.0.1111.post0.dev17,2023-08-04,2023,https://pypi.org/project/great-expectations/,
databricks-sdk,0.6.0,pip install databricks-sdk,2023-08-17,2023,0.0.6,2023-03-24,2023,https://pypi.org/project/databricks-sdk/,https://databricks-sdk-py.readthedocs.io/en/latest/index.html
apache-airflow-providers-common-sql,1.7.0,pip install apache-airflow-providers-common-sql,2023-08-14,2023,1.0.0a1,2022-07-05,2022,https://pypi.org/project/apache-airflow-providers-common-sql/,
certbot-dns-google-domains,0.1.11,pip install certbot-dns-google-domains,2023-04-14,2023,0.1.1,2023-02-13,2023,https://pypi.org/project/certbot-dns-google-domains/,
langchain,0.0.268,pip install langchain,2023-08-18,2023,0.0.1,2022-10-25,2022,https://pypi.org/project/langchain/,https://python.langchain.com/docs/get_started/introduction.html
types-awscrt,0.19.0,pip install types-awscrt,2023-08-16,2023,0.13.14,2022-08-01,2022,https://pypi.org/project/types-awscrt/,
envier,0.4.0,pip install envier,2022-08-17,2022,0.1.0,2022-06-23,2022,https://pypi.org/project/envier/,
types-s3transfer,0.6.2,pip install types-s3transfer,2023-08-16,2023,0.6.0,2022-07-13,2022,https://pypi.org/project/types-s3transfer/,
rich-argparse,1.3.0,pip install rich-argparse,2023-08-19,2023,0.1.0,2022-09-03,2022,https://pypi.org/project/rich-argparse/,
ruff,0.0.285,pip install ruff,2023-08-17,2023,0.0.13,2022-08-27,2022,https://pypi.org/project/ruff/,
gradio-client,0.4.0,pip install gradio-client,2023-08-10,2023,0.0.1,2023-03-09,2023,https://pypi.org/project/gradio-client/,
sphinxcontrib-jquery,4.1,pip install sphinxcontrib-jquery,2023-03-14,2023,1.0.0,2022-10-17,2022,https://pypi.org/project/sphinxcontrib-jquery/,
ultralytics,8.0.158,pip install ultralytics,2023-08-20,2023,0.0.13,2022-04-04,2022,https://pypi.org/project/ultralytics/,
tiktoken,0.4.0,pip install tiktoken,2023-05-07,2023,0.1.1,2022-12-15,2022,https://pypi.org/project/tiktoken/,
diffusers,0.20.0,pip install diffusers,2023-08-17,2023,0.0.1,2022-05-30,2022,https://pypi.org/project/diffusers/,https://huggingface.co/docs/diffusers/index
jsonschema-spec,0.2.4,pip install jsonschema-spec,2023-08-16,2023,0.1.0,2022-08-29,2022,https://pypi.org/project/jsonschema-spec/,
