apeye,1.4.1,pip install apeye,2023-08-14,2023,0.0.2,2020-08-23,2020,https://pypi.org/project/apeye/,https://apeye.readthedocs.io/en/latest/
bitstring,4.1.0,pip install bitstring,2023-08-17,2023,0.3.2,2009-03-13,2009,https://pypi.org/project/bitstring/,https://bitstring.readthedocs.io/en/stable/
datacompy,0.10.3,pip install datacompy,2023-08-15,2023,0.5.0,2018-03-28,2018,https://pypi.org/project/datacompy/,https://capitalone.github.io/datacompy/
emoji,2.8.0,pip install emoji,2023-08-16,2023,0.0.1,2014-08-18,2014,https://pypi.org/project/emoji/,https://carpedm20.github.io/emoji/docs/index.html
chardet,5.2.0,pip install chardet,2023-08-01,2023,1,2006-12-23,2006,https://pypi.org/project/chardet/,https://chardet.readthedocs.io/en/latest/index.html
click,8.1.7,pip install click,2023-08-17,2023,0.1,2014-04-21,2014,https://pypi.org/project/click/,https://click.palletsprojects.com/en/8.1.x/
category-encoders,2.6.2,pip install category-encoders,2023-08-15,2023,1.0.0,2016-02-24,2016,https://pypi.org/project/category-encoders/,https://contrib.scikit-learn.org/category_encoders/
bokeh,3.2.2,pip install bokeh,2023-08-14,2023,0.2,2013-10-23,2013,https://pypi.org/project/bokeh/,https://docs.bokeh.org/en/latest/
scipy,1.11.2,pip install scipy,2023-08-17,2023,0.4.4,2006-01-09,2006,https://pypi.org/project/scipy/,https://docs.scipy.org/doc/scipy/
xarray,2023.8.0,pip install xarray,2023-08-20,2023,0.7.0,2016-01-22,2016,https://pypi.org/project/xarray/,https://docs.xarray.dev/en/stable/
gymnasium,0.29.1,pip install gymnasium,2023-08-21,2023,0.0.1,2021-11-05,2021,https://pypi.org/project/gymnasium/,https://gymnasium.farama.org/
datasets,2.14.4,pip install datasets,2023-08-08,2023,0.0.9,2015-08-18,2015,https://pypi.org/project/datasets/,https://huggingface.co/docs/datasets/index
hypothesis,6.82.6,pip install hypothesis,2023-08-20,2023,0.0.1,2013-03-10,2013,https://pypi.org/project/hypothesis/,https://hypothesis.readthedocs.io/en/latest/
ibis-framework,6.1.0,pip install ibis-framework,2023-08-03,2023,0.3.0,2015-07-20,2015,https://pypi.org/project/ibis-framework/,https://ibis-project.org/
json-tricks,3.17.3,pip install json-tricks,2023-08-19,2023,1,2015-11-07,2015,https://pypi.org/project/json-tricks/,https://json-tricks.readthedocs.io/en/latest/
pytorch-lightning,2.0.7,pip install pytorch-lightning,2023-08-16,2023,0.0.2,2019-03-31,2019,https://pypi.org/project/pytorch-lightning/,https://lightning.ai/docs/pytorch/latest/
rapidfuzz,3.2.0,pip install rapidfuzz,2023-08-02,2023,0.0.6,2020-03-18,2020,https://pypi.org/project/rapidfuzz/,https://maxbachmann.github.io/RapidFuzz/index.html
mlflow,2.6.0,pip install mlflow,2023-08-15,2023,0.0.1,2018-06-04,2018,https://pypi.org/project/mlflow/,https://mlflow.org/docs/latest/index.html
more-itertools,10.1.0,pip install more-itertools,2023-08-03,2023,1,2012-04-26,2012,https://pypi.org/project/more-itertools/,https://more-itertools.readthedocs.io/en/stable/index.html
optuna,3.3.0,pip install optuna,2023-08-07,2023,0.0.1,2018-10-19,2018,https://pypi.org/project/optuna/,https://optuna.readthedocs.io/en/stable/
