Num,Name,Use Case,Testing_Type,Type,Install command,Version,Last_version_release_date,Start_version,Start_version_release_date,Pypi url,Documentation,Github
1,PyDrive2,Do Google Drive API tasks,Unit-test,New_API,pip install PyDrive2,1.17.0,2023-08-15,0.14.0,2022-07-22,https://pypi.org/project/PyDrive2/,https://docs.iterative.ai/PyDrive2/,https://github.com/iterative/PyDrive2.git
2,pytensor,"Define, optimize/rewrite, and evaluate mathematical expressions involving multi-dimensional arrays.",Unit-test,New_API,pip install pytensor,2.14.2,2023-08-04,2.8.10,2022-11-23,https://pypi.org/project/pytensor/,https://pytensor.readthedocs.io/en/latest/index.html,https://github.com/pymc-devs/pytensor.git
3,ydata-profiling,Exploratory Data Analysis (EDA),Manual,New_API,pip install ydata-profiling,4.5.1,2023-08-11,4.0.0,2023-01-30,https://pypi.org/project/ydata-profiling/,https://ydata-profiling.ydata.ai/docs/master/index.html,https://github.com/ydataai/ydata-profiling.git
4,langchain,Developing applications powered by language models,Manual,New_API,pip install langchain,0.0.268,2023-08-18,0.0.1,2022-10-25,https://pypi.org/project/langchain/,https://python.langchain.com/docs/get_started/introduction.html,https://github.com/langchain-ai/langchain.git
5,diffusers,Train or deploy diffusion models,Manual,New_API,pip install diffusers,0.20.0,2023-08-17,0.0.1,2022-05-30,https://pypi.org/project/diffusers/,https://huggingface.co/docs/diffusers/index,https://github.com/huggingface/diffusers.git
6,evaluate,Evaluating machine learning models and datasets.,Unit-test,New_API,pip install evaluate,0.4.0,2022-12-13,0.1.0,2022-05-31,https://pypi.org/project/evaluate/,https://huggingface.co/docs/evaluate/index,https://github.com/huggingface/evaluate.git
7,argilla,Data curation platform for LLMs.,Manual,New_API,pip install argilla,1.14.1,2023-08-16,0.0.1,2022-10-06,https://pypi.org/project/argilla/,https://docs.argilla.io/en/latest/,https://github.com/argilla-io/argilla.git
8,llama-index,Data framework for LLM,Manual,New_API,pip install llama-index,0.8.5.post2,2023-08-21,0.4.4,2023-02-16,https://pypi.org/project/llama-index/,https://gpt-index.readthedocs.io/en/stable/,https://github.com/jerryjliu/llama_index.git
9,peft,Efficiently fine tuning pre-trained language models ,Manual,New_API,pip install peft,0.4.0,2023-07-17,0.0.1,2023-01-19,https://pypi.org/project/peft/,https://huggingface.co/docs/peft/index,https://github.com/huggingface/peft.git
10,rustworkx,Working with graphs and complex networks,Unit-test,New_API,pip install rustworkx,0.13.1,2023-07-31,0.12.0,2022-10-07,https://pypi.org/project/rustworkx/,https://qiskit.org/ecosystem/rustworkx/index.html,https://github.com/Qiskit/rustworkx.git
11,pyglove,symbolic object-oriented programming (SOOP),Unit-test,New_API,pip install pyglove,0.4.2,2023-07-28,0.1.0.dev20220830,2022-08-31,https://pypi.org/project/pyglove/,https://pyglove.readthedocs.io/en/latest/index.html,https://github.com/google/pyglove.git
12,supervision,Computer vision tool,Manual,New_API,pip install supervision,0.13.0,2023-08-08,0.1.0,2023-01-19,https://pypi.org/project/supervision/,https://supervision.roboflow.com/,https://github.com/roboflow/supervision.git
13,linear-operator,PyTorch package for abstracting away the linear algebra routines needed for structured matrices,Unit-test,New_API,pip install linear-operator,0.5.1,2023-08-01,0.1.0,2022-08-11,https://pypi.org/project/linear-operator/,https://linear-operator.readthedocs.io/en/latest/index.html,https://github.com/cornellius-gp/linear_operator.git
