package_name,version_x,version_y,version,summary_x,license_x,metadata_source_x,summary_y,license_y,metadata_source_y,download_count
Babel,2.12.1,2.12.1,2.12.1,,,,Internationalization utilities,BSD,PyPI,
Cython,0.29.36,0.29.35,0.29.35,,,,The Cython compiler for writing C extensions for the Python language.,Apache,PyPI,
Fiona,1.9.4.post1,1.9.4.post1,,,,,Fiona reads and writes spatial data files,BSD,PyPI,
Flask,2.2.5,2.3.2,2.3.2,,,,A simple framework for building complex web applications.,BSD-3-Clause,PyPI,
GDAL,3.4.3,,,,,,,,,
Jinja2,3.1.2,3.1.2,3.1.2,,,,A small but fast and easy to use stand-alone template engine written in pure python.,BSD,PyPI,
LunarCalendar,0.0.9,0.0.9,,,,,,,,
Markdown,3.4.4,3.4.3,,,,,Python implementation of Markdown.,BSD License,PyPI,
MarkupSafe,2.1.3,2.1.3,2.1.3,,,,Safely add untrusted strings to HTML/XML markup.,BSD-3-Clause,PyPI,
Pillow,9.4.0,9.5.0,9.3.0,,,,Python Imaging Library (Fork),,PyPI,
PyDrive,1.3.1,,,,,,,,,
PyDrive2,1.6.3,,,,,,,,,
PyGObject,3.42.1,,3.42.1,,,,,,,
PyJWT,2.3.0,2.7.0,2.3.0,,,,,,,
PyMeeus,0.5.12,0.5.12,,,,,,,,
PyOpenGL,3.1.7,,,,,,Standard OpenGL bindings for Python,BSD,PyPI,
PySocks,1.7.1,1.7.1,,,,,A Python SOCKS client module. See https://github.com/Anorov/PySocks for more information.,BSD,PyPI,
PyWavelets,1.4.1,1.4.1,1.4.1,,,,"PyWavelets, wavelet transform module",MIT,PyPI,
PyYAML,6.0.1,6.0,5.4.1,,,,YAML parser and emitter for Python,MIT,PyPI,
Pygments,2.16.1,2.15.1,2.15.1,,,,Pygments is a syntax highlighting package written in Python.,BSD License,PyPI,
SQLAlchemy,2.0.20,2.0.17,,,,,Database Abstraction Library,MIT,PyPI,
SecretStorage,3.3.1,3.3.3,3.3.1,,,,Python bindings to FreeDesktop.org Secret Service API,BSD 3-Clause License,PyPI,
Send2Trash,1.8.2,1.8.2,1.8.2,,,,"Send file to trash natively under Mac OS X, Windows and Linux.",BSD License,PyPI,
Sphinx,5.0.2,,,,,,Python documentation generator,BSD,PyPI,
absl-py,1.4.0,1.4.0,,,,,"Abseil Python Common Libraries, see https://github.com/abseil/abseil-py.",Apache 2.0,PyPI,17336923.0
aiohttp,3.8.5,3.8.4,3.8.4,Async http client/server framework (asyncio),Apache-2.0,Anaconda,,,,62204503.0
aiosignal,1.3.1,1.3.1,1.3.1,aiosignal: a list of registered asynchronous callbacks,Apache-2.0,Anaconda,,,,51570388.0
alabaster,0.7.13,,,"Configurable, Python 2+3 compatible Sphinx theme.",BSD 3-Clause,Anaconda,,,,5679155.0
albumentations,1.3.1,1.3.1,,,,,Fast image augmentation library and easy to use wrapper around other libraries,MIT,PyPI,743520.0
altair,4.2.2,5.0.1,,,,,Altair: A declarative statistical visualization library for Python.,BSD 3-clause,PyPI,12610963.0
annotated-types,0.5.0,,,,,,,,,12068823.0
