#,API,API_CODE_#,INSTRUCT,CODE_PATH,TEST_1,TEST_2,TEST_3,TEST_4,TEST_5
1,peft,1,"Develop a Python program using the 'peft' API that assesses the sentiment of a provided news snippet. Load the necessary models, including 'THUDM/chatglm2-6b' as the base model and 'oliverwang15/FinGPT_ChatGLM2_Sentiment_Instruction_LoRA_FT' as the peft model. Create a prompt that instructs the model to determine the sentiment of the news snippet, which should be provided as input. The program should generate the sentiment result and print it.",code/peft/peft_1.py,Test that the program correctly handles different news snippets and returns the corresponding sentiment.,Test that the program can generate sentiment results for the provided news snippet.,Test that the base model ('THUDM/chatglm2-6b') and sentiment model ('oliverwang15/FinGPT_ChatGLM2_Sentiment_Instruction_LoRA_FT') are loaded successfully.,,
2,peft,2,Develop a Python program that utilizes the 'peft' API to summarize a given text. Use the 'google/pegasus-newsroom' model for summarization. The program should take an input text and produce a concise summary. Ensure that the program is capable of handling long texts and generating meaningful summaries.,code/peft/peft_2.py,Test that the program handles long input texts and produces concise summaries.,Test that the program can generate meaningful summaries for a variety of input texts.,Test that the 'google/pegasus-newsroom' model and peft model are successfully loaded.,,
3,peft,3,Create a Python program that uses the 'peft' API to translate a given English text to French. Employ the 'facebook/mbart-large-cc25' model for translation. The program should be capable of translating a range of English texts into French.,code/peft/peft_3.py,Test that the program handles both short and long English texts for translation.,Test that the program can accurately translate various English texts into French.,Test that the 'facebook/mbart-large-cc25' model and peft model are successfully loaded.,,
4,peft,4,Develop a Python program that uses the 'peft' API to answer questions based on a given passage. Utilize the 'ahotrod/eleutherai-turboqa' model for question-answering. The program should take a passage and a set of questions as input and provide corresponding answers.,code/peft/peft_4.py,Test that the program can accurately answer a variety of questions based on the provided passage.,Test that the 'ahotrod/eleutherai-turboqa' model and peft model are successfully loaded.,"Test that the program handles different passages and questions, providing correct answers.",,
5,peft,5,Create a Python program using the 'peft' API to generate text in the style of William Shakespeare. Utilize the 'gpt2' model for text generation. The program should take a starting phrase and generate a coherent and Shakespearean-style text.,code/peft/peft_5.py,Test that the program can generate coherent and Shakespearean-style text based on different starting phrases.,Test that the 'gpt2' model and peft model are successfully loaded.,Test that the program can handle various starting phrases and produce meaningful text.,,
6,peft,6,Develop a Python program using the 'peft' API to perform sentiment analysis on a given set of user reviews. Utilize the 'nlptown/bert-base-multilingual-uncased-sentiment' model for sentiment analysis. The program should accept a list of user reviews as input and provide sentiment scores for each review.,code/peft/peft_6.py,Test that the program can accurately perform sentiment analysis on different user reviews.,Test that the program handles a variety of user reviews and provides appropriate sentiment scores.,Test that the 'nlptown/bert-base-multilingual-uncased-sentiment' model and peft model are successfully loaded.,,
7,peft,7,Create a Python program that employs the 'peft' API to generate code in the Python programming language. Use the 'gpt2' model for code generation. The program should take a high-level description of a task as input and generate Python code that accomplishes the task.,code/peft/peft_7.py,Test that the 'gpt2' model and peft model are successfully loaded.,Test that the program can generate Python code based on different high-level task descriptions.,Test that the program produces functional Python code that accomplishes the specified tasks.,,
8,peft,8,"Develop a Python program using the 'peft' API to extract key information from a set of text documents. Utilize the 'dbmdz/bert-large-cased-finetuned-conll03-english' model for named entity recognition. The program should accept a list of text documents as input and identify and extract entities like names, organizations, and dates.",code/peft/peft_8.py,Test that the 'dbmdz/bert-large-cased-finetuned-conll03-english' model and peft model are successfully loaded.,Test that the program handles various text documents and identifies relevant entities.,Test that the program can accurately extract entities from different text documents.,,
9,peft,9,Create a Python program that utilizes the 'peft' API to generate SQL queries based on a given description of a database query. Use the 'gpt2' model for SQL query generation. The program should accept high-level descriptions of queries and produce SQL queries that retrieve the requested data from a database.,code/peft/peft_9.py,Test that the 'gpt2' model and peft model are successfully loaded.,Test that the program produces SQL queries that retrieve the requested data from a database.,Test that the program can generate SQL queries based on different high-level descriptions of queries.,,
10,peft,10,Develop a Python program using the 'peft' API to perform text classification on a set of documents. Utilize the 'distilbert-base-uncased' model for text classification. The program should accept a list of documents as input and classify them into predefined categories.,code/peft/peft_10.py,Test that the program handles various types of documents and assigns appropriate classifications.,Test that the 'distilbert-base-uncased' model and peft model are successfully loaded.,Test that the program can accurately classify different documents into predefined categories.,,
