step,loss,learning_rate,epoch
1,0.7385,1e-05,0.08
10,0.5941,1.3000000000000001e-05,0.79
20,0.514,1.6333333333333335e-05,1.58
30,0.4283,1.9666666666666666e-05,2.38
40,0.3336,1.9923076923076923e-05,3.17
50,0.258,1.9837606837606837e-05,3.96
60,0.1995,1.975213675213675e-05,4.75
70,0.159,1.9666666666666666e-05,5.54
80,0.1225,1.9581196581196584e-05,6.34
90,0.1051,1.9495726495726495e-05,7.13
100,0.0939,1.9410256410256413e-05,7.92
110,0.0807,1.9324786324786327e-05,8.71
120,0.07,1.923931623931624e-05,9.5
130,0.0582,1.9153846153846156e-05,10.3
140,0.0526,1.906837606837607e-05,11.09
150,0.0467,1.8982905982905985e-05,11.88
160,0.0391,1.88974358974359e-05,12.67
170,0.0375,1.8811965811965813e-05,13.47
180,0.03,1.8726495726495728e-05,14.26
190,0.0296,1.8641025641025642e-05,15.05
200,0.0257,1.8555555555555557e-05,15.84
210,0.0233,1.847008547008547e-05,16.63
220,0.0218,1.8384615384615386e-05,17.43
230,0.0208,1.8299145299145303e-05,18.22
240,0.0194,1.8213675213675214e-05,19.01
250,0.016,1.8128205128205132e-05,19.8
260,0.0152,1.8042735042735047e-05,20.59
270,0.0124,1.7957264957264958e-05,21.39
280,0.0115,1.7871794871794875e-05,22.18
290,0.0113,1.778632478632479e-05,22.97
300,0.0095,1.7700854700854704e-05,23.76
310,0.0095,1.7615384615384615e-05,24.55
320,0.008,1.7529914529914533e-05,25.35
330,0.0085,1.7444444444444448e-05,26.14
340,0.0096,1.7358974358974362e-05,26.93
350,0.0078,1.7273504273504276e-05,27.72
360,0.0081,1.718803418803419e-05,28.51
370,0.0062,1.7102564102564105e-05,29.31
380,0.0065,1.701709401709402e-05,30.1
390,0.0057,1.6931623931623934e-05,30.89
400,0.0057,1.684615384615385e-05,31.68
410,0.0057,1.6760683760683763e-05,32.48
420,0.006,1.6675213675213677e-05,33.27
430,0.0058,1.6589743589743592e-05,34.06
440,0.0065,1.6504273504273506e-05,34.85
450,0.0073,1.641880341880342e-05,35.64
460,0.0067,1.6333333333333335e-05,36.44
470,0.0065,1.624786324786325e-05,37.23
480,0.0052,1.6162393162393164e-05,38.02
490,0.0036,1.607692307692308e-05,38.81
500,0.0032,1.5991452991452993e-05,39.6
510,0.0025,1.5905982905982907e-05,40.4
520,0.0023,1.582051282051282e-05,41.19
530,0.0022,1.5735042735042736e-05,41.98
540,0.0019,1.564957264957265e-05,42.77
550,0.0019,1.5564102564102565e-05,43.56
560,0.0018,1.547863247863248e-05,44.36
570,0.0017,1.5393162393162394e-05,45.15
580,0.0017,1.5307692307692308e-05,45.94
590,0.0016,1.5222222222222223e-05,46.73
600,0.0016,1.5136752136752137e-05,47.52
610,0.0015,1.5051282051282051e-05,48.32
620,0.0014,1.4965811965811968e-05,49.11
630,0.0014,1.488034188034188e-05,49.9
640,0.0014,1.4794871794871796e-05,50.69
650,0.0013,1.470940170940171e-05,51.49
660,0.0013,1.4623931623931625e-05,52.28
670,0.0012,1.453846153846154e-05,53.07
680,0.0012,1.4452991452991454e-05,53.86
690,0.0012,1.4367521367521368e-05,54.65
700,0.0012,1.4282051282051283e-05,55.45
710,0.0011,1.4196581196581199e-05,56.24
720,0.0011,1.4111111111111112e-05,57.03
730,0.001,1.4025641025641028e-05,57.82
740,0.0011,1.3940170940170942e-05,58.61
750,0.001,1.3854700854700857e-05,59.41
760,0.001,1.3769230769230771e-05,60.2
770,0.001,1.3683760683760686e-05,60.99
780,0.0009,1.35982905982906e-05,61.78
790,0.001,1.3512820512820514e-05,62.57
800,0.0009,1.3427350427350429e-05,63.37
810,0.0009,1.3341880341880343e-05,64.16
820,0.0009,1.3256410256410258e-05,64.95
830,0.0009,1.3170940170940172e-05,65.74
840,0.0009,1.3085470085470086e-05,66.53
850,0.0008,1.3000000000000001e-05,67.33
860,0.0008,1.2914529914529915e-05,68.12
870,0.0008,1.282905982905983e-05,68.91
880,0.0008,1.2743589743589744e-05,69.7
890,0.0008,1.2658119658119659e-05,70.5
900,0.0008,1.2572649572649573e-05,71.29
910,0.0008,1.2487179487179487e-05,72.08
920,0.0007,1.2401709401709402e-05,72.87
930,0.0007,1.2316239316239318e-05,73.66
940,0.0007,1.2230769230769232e-05,74.46
950,0.0007,1.2145299145299145e-05,75.25
960,0.0007,1.2059829059829061e-05,76.04
970,0.0007,1.1974358974358976e-05,76.83
980,0.0007,1.188888888888889e-05,77.62
990,0.0007,1.1803418803418804e-05,78.42
1000,0.0007,1.1717948717948719e-05,79.21
1010,0.0007,1.1632478632478633e-05,80.0
1020,0.0006,1.1547008547008548e-05,80.79
1030,0.0007,1.1461538461538462e-05,81.58
1040,0.0006,1.1376068376068377e-05,82.38
1050,0.0006,1.1290598290598291e-05,83.17
1060,0.0006,1.1205128205128205e-05,83.96
1070,0.0006,1.1119658119658122e-05,84.75
1080,0.0006,1.1034188034188034e-05,85.54
1090,0.0006,1.094871794871795e-05,86.34
1100,0.0006,1.0863247863247865e-05,87.13
1110,0.0006,1.077777777777778e-05,87.92
1120,0.0006,1.0692307692307694e-05,88.71
1130,0.0006,1.0606837606837608e-05,89.5
1140,0.0006,1.0521367521367523e-05,90.3
1150,0.0006,1.0435897435897437e-05,91.09
1160,0.0006,1.0350427350427351e-05,91.88
1170,0.0006,1.0264957264957266e-05,92.67
1180,0.0006,1.017948717948718e-05,93.47
1190,0.0005,1.0094017094017095e-05,94.26
1200,0.0005,1.0008547008547009e-05,95.05
